[Loads]
[x]         [y]         [z]         [F_x]         [F_y]         [F_z]         [M_x]         [M_y]         [M_z]
0.000000    0.000000    0.000000    0.000000    -0.000000    0.000000    0.000000    0.000000    -0.000000
0.080808    0.000000    0.000000    0.000000    -0.102030    0.000000    0.000000    0.000000    -0.008245
0.161616    0.000000    0.000000    0.000000    -0.408122    0.000000    0.000000    0.000000    -0.065959
0.242424    0.000000    0.000000    0.000000    -0.918274    0.000000    0.000000    0.000000    -0.222612
0.323232    0.000000    0.000000    0.000000    -1.632486    0.000000    0.000000    0.000000    -0.527672
0.404040    0.000000    0.000000    0.000000    -2.550760    0.000000    0.000000    0.000000    -1.030610
0.484848    0.000000    0.000000    0.000000    -3.673095    0.000000    0.000000    0.000000    -1.780894
0.565657    0.000000    0.000000    0.000000    -4.999490    0.000000    0.000000    0.000000    -2.827994
0.646465    0.000000    0.000000    0.000000    -6.529946    0.000000    0.000000    0.000000    -4.221379
0.727273    0.000000    0.000000    0.000000    -8.264463    0.000000    0.000000    0.000000    -6.010518
0.808081    0.000000    0.000000    0.000000    -10.203041    0.000000    0.000000    0.000000    -8.244881
0.888889    0.000000    0.000000    0.000000    -12.345679    0.000000    0.000000    0.000000    -10.973937
0.969697    0.000000    0.000000    0.000000    -14.692378    0.000000    0.000000    0.000000    -14.247155
1.050505    0.000000    0.000000    0.000000    -17.243138    0.000000    0.000000    0.000000    -18.114004
1.131313    0.000000    0.000000    0.000000    -19.997959    0.000000    0.000000    0.000000    -22.623954
1.212121    0.000000    0.000000    0.000000    -22.956841    0.000000    0.000000    0.000000    -27.826474
1.292929    0.000000    0.000000    0.000000    -26.119784    0.000000    0.000000    0.000000    -33.771033
1.373737    0.000000    0.000000    0.000000    -29.486787    0.000000    0.000000    0.000000    -40.507101
1.454545    0.000000    0.000000    0.000000    -33.057851    0.000000    0.000000    0.000000    -48.084147
1.535354    0.000000    0.000000    0.000000    -36.832976    0.000000    0.000000    0.000000    -56.551640
1.616162    0.000000    0.000000    0.000000    -40.812162    0.000000    0.000000    0.000000    -65.959050
1.696970    0.000000    0.000000    0.000000    -44.995409    0.000000    0.000000    0.000000    -76.355845
1.777778    0.000000    0.000000    0.000000    -49.382716    0.000000    0.000000    0.000000    -87.791495
1.858586    0.000000    0.000000    0.000000    -53.974084    0.000000    0.000000    0.000000    -100.315470
1.939394    0.000000    0.000000    0.000000    -58.769513    0.000000    0.000000    0.000000    -113.977238
2.020202    0.000000    0.000000    0.000000    -63.769003    0.000000    0.000000    0.000000    -128.826269
2.101010    0.000000    0.000000    0.000000    -68.972554    0.000000    0.000000    0.000000    -144.912032
2.181818    0.000000    0.000000    0.000000    -74.380165    0.000000    0.000000    0.000000    -162.283997
2.262626    0.000000    0.000000    0.000000    -79.991838    0.000000    0.000000    0.000000    -180.991632
2.343434    0.000000    0.000000    0.000000    -85.807571    0.000000    0.000000    0.000000    -201.084408
2.424242    0.000000    0.000000    0.000000    -91.827365    0.000000    0.000000    0.000000    -222.611793
2.505051    0.000000    0.000000    0.000000    -98.051219    0.000000    0.000000    0.000000    -245.623256
2.585859    0.000000    0.000000    0.000000    -104.479135    0.000000    0.000000    0.000000    -270.168268
2.666667    0.000000    0.000000    0.000000    -111.111111    0.000000    0.000000    0.000000    -296.296296
2.747475    0.000000    0.000000    0.000000    -117.947148    0.000000    0.000000    0.000000    -324.056811
2.828283    0.000000    0.000000    0.000000    -124.987246    0.000000    0.000000    0.000000    -353.499282
2.909091    0.000000    0.000000    0.000000    -132.231405    0.000000    0.000000    0.000000    -384.673178
2.989899    0.000000    0.000000    0.000000    -139.679625    0.000000    0.000000    0.000000    -417.627968
3.070707    0.000000    0.000000    0.000000    -147.331905    0.000000    0.000000    0.000000    -452.413122
3.151515    0.000000    0.000000    0.000000    -155.188246    0.000000    0.000000    0.000000    -489.078109
3.232323    0.000000    0.000000    0.000000    -163.248648    0.000000    0.000000    0.000000    -527.672398
3.313131    0.000000    0.000000    0.000000    -171.513111    0.000000    0.000000    0.000000    -568.245458
3.393939    0.000000    0.000000    0.000000    -179.981635    0.000000    0.000000    0.000000    -610.846760
3.474747    0.000000    0.000000    0.000000    -188.654219    0.000000    0.000000    0.000000    -655.525771
3.555556    0.000000    0.000000    0.000000    -197.530864    0.000000    0.000000    0.000000    -702.331962
3.636364    0.000000    0.000000    0.000000    -206.611570    0.000000    0.000000    0.000000    -751.314801
3.717172    0.000000    0.000000    0.000000    -215.896337    0.000000    0.000000    0.000000    -802.523758
3.797980    0.000000    0.000000    0.000000    -225.385165    0.000000    0.000000    0.000000    -856.008303
3.878788    0.000000    0.000000    0.000000    -235.078053    0.000000    0.000000    0.000000    -911.817904
3.959596    0.000000    0.000000    0.000000    -244.975003    0.000000    0.000000    0.000000    -970.002030
4.040404    0.000000    0.000000    0.000000    -255.076013    0.000000    0.000000    0.000000    -1030.610152
4.121212    0.000000    0.000000    0.000000    -265.381084    0.000000    0.000000    0.000000    -1093.691738
4.202020    0.000000    0.000000    0.000000    -275.890215    0.000000    0.000000    0.000000    -1159.296258
4.282828    0.000000    0.000000    0.000000    -286.603408    0.000000    0.000000    0.000000    -1227.473181
4.363636    0.000000    0.000000    0.000000    -297.520661    0.000000    0.000000    0.000000    -1298.271976
4.444444    0.000000    0.000000    0.000000    -308.641975    0.000000    0.000000    0.000000    -1371.742112
4.525253    0.000000    0.000000    0.000000    -319.967350    0.000000    0.000000    0.000000    -1447.933060
4.606061    0.000000    0.000000    0.000000    -331.496786    0.000000    0.000000    0.000000    -1526.894287
4.686869    0.000000    0.000000    0.000000    -343.230283    0.000000    0.000000    0.000000    -1608.675264
4.767677    0.000000    0.000000    0.000000    -355.167840    0.000000    0.000000    0.000000    -1693.325459
4.848485    0.000000    0.000000    0.000000    -367.309458    0.000000    0.000000    0.000000    -1780.894343
4.929293    0.000000    0.000000    0.000000    -379.655137    0.000000    0.000000    0.000000    -1871.431384
5.010101    0.000000    0.000000    0.000000    -392.204877    0.000000    0.000000    0.000000    -1964.986051
5.090909    0.000000    0.000000    0.000000    -404.958678    0.000000    0.000000    0.000000    -2061.607814
5.171717    0.000000    0.000000    0.000000    -417.916539    0.000000    0.000000    0.000000    -2161.346142
5.252525    0.000000    0.000000    0.000000    -431.078461    0.000000    0.000000    0.000000    -2264.250504
5.333333    0.000000    0.000000    0.000000    -444.444444    0.000000    0.000000    0.000000    -2370.370370
5.414141    0.000000    0.000000    0.000000    -458.014488    0.000000    0.000000    0.000000    -2479.755209
5.494949    0.000000    0.000000    0.000000    -471.788593    0.000000    0.000000    0.000000    -2592.454491
5.575758    0.000000    0.000000    0.000000    -485.766758    0.000000    0.000000    0.000000    -2708.517684
5.656566    0.000000    0.000000    0.000000    -499.948985    0.000000    0.000000    0.000000    -2827.994257
5.737374    0.000000    0.000000    0.000000    -514.335272    0.000000    0.000000    0.000000    -2950.933681
5.818182    0.000000    0.000000    0.000000    -528.925620    0.000000    0.000000    0.000000    -3077.385424
5.898990    0.000000    0.000000    0.000000    -543.720029    0.000000    0.000000    0.000000    -3207.398956
5.979798    0.000000    0.000000    0.000000    -558.718498    0.000000    0.000000    0.000000    -3341.023746
6.060606    0.000000    0.000000    0.000000    -573.921028    0.000000    0.000000    0.000000    -3478.309263
6.141414    0.000000    0.000000    0.000000    -589.327620    0.000000    0.000000    0.000000    -3619.304977
6.222222    0.000000    0.000000    0.000000    -604.938272    0.000000    0.000000    0.000000    -3764.060357
6.303030    0.000000    0.000000    0.000000    -620.752984    0.000000    0.000000    0.000000    -3912.624871
6.383838    0.000000    0.000000    0.000000    -636.771758    0.000000    0.000000    0.000000    -4065.047990
6.464646    0.000000    0.000000    0.000000    -652.994592    0.000000    0.000000    0.000000    -4221.379183
6.545455    0.000000    0.000000    0.000000    -669.421488    0.000000    0.000000    0.000000    -4381.667919
6.626263    0.000000    0.000000    0.000000    -686.052444    0.000000    0.000000    0.000000    -4545.963667
6.707071    0.000000    0.000000    0.000000    -702.887460    0.000000    0.000000    0.000000    -4714.315896
6.787879    0.000000    0.000000    0.000000    -719.926538    0.000000    0.000000    0.000000    -4886.774077
6.868687    0.000000    0.000000    0.000000    -737.169677    0.000000    0.000000    0.000000    -5063.387677
6.949495    0.000000    0.000000    0.000000    -754.616876    0.000000    0.000000    0.000000    -5244.206167
7.030303    0.000000    0.000000    0.000000    -772.268136    0.000000    0.000000    0.000000    -5429.279016
7.111111    0.000000    0.000000    0.000000    -790.123457    0.000000    0.000000    0.000000    -5618.655693
7.191919    0.000000    0.000000    0.000000    -808.182838    0.000000    0.000000    0.000000    -5812.385667
7.272727    0.000000    0.000000    0.000000    -826.446281    0.000000    0.000000    0.000000    -6010.518407
7.353535    0.000000    0.000000    0.000000    -844.913784    0.000000    0.000000    0.000000    -6213.103384
7.434343    0.000000    0.000000    0.000000    -863.585348    0.000000    0.000000    0.000000    -6420.190065
7.515152    0.000000    0.000000    0.000000    -882.460973    0.000000    0.000000    0.000000    -6631.827921
7.595960    0.000000    0.000000    0.000000    -901.540659    0.000000    0.000000    0.000000    -6848.066421
7.676768    0.000000    0.000000    0.000000    -920.824406    0.000000    0.000000    0.000000    -7068.955033
7.757576    0.000000    0.000000    0.000000    -940.312213    0.000000    0.000000    0.000000    -7294.543228
7.838384    0.000000    0.000000    0.000000    -960.004081    0.000000    0.000000    0.000000    -7524.880475
7.919192    0.000000    0.000000    0.000000    -979.900010    0.000000    0.000000    0.000000    -7760.016242
8.000000    0.000000    0.000000    0.000000    -1000.000000    0.000000    0.000000    0.000000    -8000.000000
