# Load Type: TRIANGULAR
# Load Formula: q(x) = w * (x/L)
[Loads]
         [x]          [y]          [z]        [F_x]        [F_y]        [F_z]        [M_x]        [M_y]        [M_z]
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.275862     0.000000     0.000000     0.000000   -34.482759     0.000000     0.000000     0.000000     0.000000
    0.551724     0.000000     0.000000     0.000000   -68.965517     0.000000     0.000000     0.000000     0.000000
    0.827586     0.000000     0.000000     0.000000  -103.448276     0.000000     0.000000     0.000000     0.000000
    1.103448     0.000000     0.000000     0.000000  -137.931034     0.000000     0.000000     0.000000     0.000000
    1.379310     0.000000     0.000000     0.000000  -172.413793     0.000000     0.000000     0.000000     0.000000
    1.655172     0.000000     0.000000     0.000000  -206.896552     0.000000     0.000000     0.000000     0.000000
    1.931034     0.000000     0.000000     0.000000  -241.379310     0.000000     0.000000     0.000000     0.000000
    2.206897     0.000000     0.000000     0.000000  -275.862069     0.000000     0.000000     0.000000     0.000000
    2.482759     0.000000     0.000000     0.000000  -310.344828     0.000000     0.000000     0.000000     0.000000
    2.758621     0.000000     0.000000     0.000000  -344.827586     0.000000     0.000000     0.000000     0.000000
    3.034483     0.000000     0.000000     0.000000  -379.310345     0.000000     0.000000     0.000000     0.000000
    3.310345     0.000000     0.000000     0.000000  -413.793103     0.000000     0.000000     0.000000     0.000000
    3.586207     0.000000     0.000000     0.000000  -448.275862     0.000000     0.000000     0.000000     0.000000
    3.862069     0.000000     0.000000     0.000000  -482.758621     0.000000     0.000000     0.000000     0.000000
    4.137931     0.000000     0.000000     0.000000  -517.241379     0.000000     0.000000     0.000000     0.000000
    4.413793     0.000000     0.000000     0.000000  -551.724138     0.000000     0.000000     0.000000     0.000000
    4.689655     0.000000     0.000000     0.000000  -586.206897     0.000000     0.000000     0.000000     0.000000
    4.965517     0.000000     0.000000     0.000000  -620.689655     0.000000     0.000000     0.000000     0.000000
    5.241379     0.000000     0.000000     0.000000  -655.172414     0.000000     0.000000     0.000000     0.000000
    5.517241     0.000000     0.000000     0.000000  -689.655172     0.000000     0.000000     0.000000     0.000000
    5.793103     0.000000     0.000000     0.000000  -724.137931     0.000000     0.000000     0.000000     0.000000
    6.068966     0.000000     0.000000     0.000000  -758.620690     0.000000     0.000000     0.000000     0.000000
    6.344828     0.000000     0.000000     0.000000  -793.103448     0.000000     0.000000     0.000000     0.000000
    6.620690     0.000000     0.000000     0.000000  -827.586207     0.000000     0.000000     0.000000     0.000000
    6.896552     0.000000     0.000000     0.000000  -862.068966     0.000000     0.000000     0.000000     0.000000
    7.172414     0.000000     0.000000     0.000000  -896.551724     0.000000     0.000000     0.000000     0.000000
    7.448276     0.000000     0.000000     0.000000  -931.034483     0.000000     0.000000     0.000000     0.000000
    7.724138     0.000000     0.000000     0.000000  -965.517241     0.000000     0.000000     0.000000     0.000000
    8.000000     0.000000     0.000000     0.000000 -1000.000000     0.000000     0.000000     0.000000     0.000000
