[Material]
[element_id]  [E]        [G]         [nu]   [rho]
0             2e11       7.6923e10   0.3    7850
1             2e11       7.6923e10   0.3    7850
2             2e11       7.6923e10   0.3    7850
3             2e11       7.6923e10   0.3    7850
4             2e11       7.6923e10   0.3    7850
5             2e11       7.6923e10   0.3    7850
6             2e11       7.6923e10   0.3    7850
7             2e11       7.6923e10   0.3    7850
8             2e11       7.6923e10   0.3    7850
9             2e11       7.6923e10   0.3    7850
