[Section]
[element_id]  [A]       [I_x]     [I_y]      [I_z]      [J_t]
0             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
1             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
2             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
3             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
4             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
5             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
6             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
7             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
8             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
9             0.02      0.0       6.6667e-5  1.6667e-5  1.707e-5
