r/R,f_y [N/m],V_y [N],M_z [Nm],f_z [N/m],V_z [N],M_y [Nm],m_x [Nm/m],T [Nm]
0.0,10.620639,104.5365003231393,-49.06622758617101,-9.301514,-26.32600354687449,10.677891446192772,0.032946,0.21088492694068972
0.0056,11.495605,104.44754726451309,-48.22567933408053,-10.067805,-26.248098810041384,10.466434780713094,0.035661,0.2106089848551725
0.01702857142857143,13.989669,104.34504373488,-47.385901133591936,-11.727456,-26.160436767177934,10.255644036239755,0.005563,0.210443179084138
0.028457142857142858,15.775018,104.22532811102896,-46.54701671386412,-12.766638,-26.061919831862074,10.045602116456582,0.011279,0.21037543939862077
0.03988571428571429,17.594009,104.09111558312276,-45.70915361067495,-13.556451,-25.956046552518625,9.836382268212645,0.028044,0.21021727958068973
0.051314285714285715,19.577823,103.94160791124413,-44.87243164969623,-14.239294,-25.844250149180695,9.628037902444156,0.033902,0.2099681284965518
0.06274285714285714,21.825791,103.77507972031448,-44.0369808067533,-15.099266,-25.726248437511728,9.42061780054237,0.043112,0.20965837287724146
0.07417142857142858,24.180676,103.59003853718069,-43.202944000079015,-15.954775,-25.60134694295173,9.214174672087982,0.050955,0.20928002891586214
0.08560000000000001,26.723525,103.38529833012414,-42.37047492103755,-16.981406,-25.46887535150897,9.008766715935364,0.064458,0.2088158298703449
0.09702857142857142,29.308417,103.15993399512828,-41.5397357521266,-17.905596,-25.328557423464833,8.804455938043194,0.077695,0.20824408070068973
0.10845714285714286,31.968669,102.91347332923036,-40.71089429590891,-18.802618,-25.180914455155868,8.601303358735528,0.09221,0.20756071107310353
0.11988571428571429,34.787228,102.64497650764139,-39.88412403422019,-19.673218,-25.026161989257936,8.3993670347191,0.105646,0.20676492059586216
0.13131428571428572,37.660624,102.3535862504938,-39.05960567697506,-20.563676,-24.86432642663173,8.198704049587054,0.117081,0.2058690972413794
0.14274285714285714,40.562803,102.0389662323807,-38.23752473485084,-21.313549,-24.695893339597248,7.999369427741089,0.122591,0.20490511992827595
0.15417142857142857,43.525132,101.70075875864278,-37.41806950992142,-22.090853,-24.521317841346214,7.801414410080908,0.123588,0.20391497101241388
0.1656,46.416921,101.33900561857656,-36.601429574853874,-22.693928,-24.341190363558628,7.604886032252629,0.11209,0.2029670578427587
0.17702857142857145,49.364099,100.95376775054898,-35.7877940891375,-23.515217,-24.15533399553104,7.409829666692483,0.098177,0.20212134946758628
0.18845714285714288,52.445548,100.54428232896001,-34.97735503530047,-24.529713,-23.962093973627592,7.216298052957218,0.089075,0.20136820900965524
0.19988571428571428,55.393681,100.11054551273381,-34.170307479457186,-25.388613,-23.76131902381242,7.024351194611652,0.07794,0.20069646316137937
0.21131428571428573,58.510386,99.6524154998069,-33.366847073508815,-26.357614,-23.553192130113107,6.834048967680829,0.083224,0.20004825043862076
0.22274285714285716,61.38863,99.17017338855725,-32.567168909097134,-27.223657,-23.337684562891038,6.645450627768001,0.096757,0.199324354444138
0.2341714285714286,64.234597,98.66490810589242,-31.771462567527735,-28.086187,-23.11522455585104,6.458613823643516,0.120928,0.1984488103613794
